"VENUEID","X","Y"
"2","113.8000","22.3000"
"3","113.8500","22.3000"
"22","113.8000","22.3500"
"23","113.8500","22.3500"
"41","113.7500","22.4000"
"42","113.8000","22.4000"
"43","113.8500","22.4000"
"60","113.7000","22.4500"
"61","113.7500","22.4500"
"62","113.8000","22.4500"
"63","113.8500","22.4500"
"64","113.9000","22.4500"
"76","114.5000","22.4500"
"77","114.5500","22.4500"
"80","113.7000","22.5000"
"81","113.7500","22.5000"
"82","113.8000","22.5000"
"83","113.8500","22.5000"
"84","113.9000","22.5000"
"85","113.9500","22.5000"
"96","114.5000","22.5000"
"97","114.5500","22.5000"
"98","114.6000","22.5000"
"101","113.7500","22.5500"
"102","113.8000","22.5500"
"103","113.8500","22.5500"
"104","113.9000","22.5500"
"105","113.9500","22.5500"
"106","114.0000","22.5500"
"107","114.0500","22.5500"
"108","114.1000","22.5500"
"115","114.4500","22.5500"
"116","114.5000","22.5500"
"117","114.5500","22.5500"
"118","114.6000","22.5500"
"121","113.7500","22.6000"
"122","113.8000","22.6000"
"123","113.8500","22.6000"
"124","113.9000","22.6000"
"125","113.9500","22.6000"
"126","114.0000","22.6000"
"127","114.0500","22.6000"
"128","114.1000","22.6000"
"129","114.1500","22.6000"
"130","114.2000","22.6000"
"131","114.2500","22.6000"
"132","114.3000","22.6000"
"133","114.3500","22.6000"
"134","114.4000","22.6000"
"135","114.4500","22.6000"
"136","114.5000","22.6000"
"137","114.5500","22.6000"
"138","114.6000","22.6000"
"141","113.7500","22.6500"
"142","113.8000","22.6500"
"143","113.8500","22.6500"
"144","113.9000","22.6500"
"145","113.9500","22.6500"
"146","114.0000","22.6500"
"147","114.0500","22.6500"
"148","114.1000","22.6500"
"149","114.1500","22.6500"
"150","114.2000","22.6500"
"151","114.2500","22.6500"
"152","114.3000","22.6500"
"153","114.3500","22.6500"
"154","114.4000","22.6500"
"155","114.4500","22.6500"
"156","114.5000","22.6500"
"157","114.5500","22.6500"
"160","113.7000","22.7000"
"161","113.7500","22.7000"
"162","113.8000","22.7000"
"163","113.8500","22.7000"
"164","113.9000","22.7000"
"165","113.9500","22.7000"
"166","114.0000","22.7000"
"167","114.0500","22.7000"
"168","114.1000","22.7000"
"170","114.2000","22.7000"
"171","114.2500","22.7000"
"172","114.3000","22.7000"
"173","114.3500","22.7000"
"174","114.4000","22.7000"
"182","113.8000","22.7500"
"183","113.8500","22.7500"
"184","113.9000","22.7500"
"185","113.9500","22.7500"
"186","114.0000","22.7500"
"187","114.0500","22.7500"
"191","114.2500","22.7500"
"192","114.3000","22.7500"
"193","114.3500","22.7500"
"194","114.4000","22.7500"
"203","113.8500","22.8000"
"204","113.9000","22.8000"
"205","113.9500","22.8000"
"212","114.3000","22.8000"
